;unnamed: 0;unnamed: 0.1;unnamed: 0.1.1;no_of_comments;no_of_likes;topic;length_of_text;question;personalisation;emotional;opinion;regional;personal;main_clauses;sub_clauses;no_of_sentences;emoji;emoji_count;ratio_main_sub;ratio_main;ratio_sub;sentence_structure;emotion;type
0;0;0;0;29.0;473.0;sports;503;False;no personalisation;no emotionalisation;News;regional;no personalisation;4.0;1.0;4.0;[];0.0;0.25;1.0;0.25;complex;;Instagram
1;1;1;1;644.0;578.0;culture;456;True;no personalisation;no emotionalisation;News;regional;no personalisation;0.0;0.0;0.0;[];0.0;;;;simple;;Instagram
2;2;2;2;34.0;408.0;crime, disaster & accidents;492;False;no personalisation;no emotionalisation;News;regional;personalisation;4.0;0.0;4.0;[];0.0;0.0;1.0;0.0;simple;;Instagram
3;3;3;3;10.0;509.0;health;452;True;personalisation;no emotionalisation;Interview;regional;personalisation;7.0;0.0;7.0;[];0.0;0.0;1.0;0.0;simple;;Instagram
4;4;4;4;31.0;204.0;construction & living;563;True;no personalisation;no emotionalisation;Interview;regional;no personalisation;7.0;1.0;8.0;['🏘️', '💰', '💸'];1.0;0.1428571428571428;0.875;0.125;simple;;Instagram
5;5;5;5;60.0;1429.0;mobility;343;True;personalisation;no emotionalisation;News;regional;personalisation;2.0;1.0;4.0;[];0.0;0.5;0.5;0.25;complex;;Instagram
6;6;6;6;25.0;573.0;other;527;False;no personalisation;emotionalisation;News;regional;no personalisation;6.0;1.0;6.0;[];0.0;0.1666666666666666;1.0;0.1666666666666666;complex;negative;Instagram
7;7;7;7;17.0;852.0;crime, disaster & accidents;744;False;personalisation;no emotionalisation;News;regional;personalisation;7.0;0.0;6.0;[];0.0;0.0;1.1666666666666667;0.0;simple;;Instagram
8;8;8;8;1.0;607.0;culture;250;True;personalisation;emotionalisation;News;regional;no personalisation;5.0;1.0;4.0;['✨'];1.0;0.2;1.25;0.25;complex;positive;Instagram
9;9;9;9;8.0;766.0;culture;698;True;personalisation;no emotionalisation;Comment;regional;personalisation;7.0;1.0;7.0;['😏'];1.0;0.1428571428571428;1.0;0.1428571428571428;simple;;Instagram
10;10;10;10;10.0;861.0;culture;535;False;no personalisation;no emotionalisation;News;regional;personalisation;6.0;1.0;5.0;[];0.0;0.1666666666666666;1.2;0.2;complex;;Instagram
